,Tweets,Tweets_token,rating_description_str,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
51,"NY Giants hire Brian Daboll, Bills offensive coordinator, as head coach #URL# #URL#","['NY', 'Giants', 'hire', 'Brian', 'Daboll,', 'Bills', 'offensive', 'coordinator,', 'as', 'head', 'coach', '#URL#', '#URL#']","NY Giants hire Brian Daboll, Bills offensive coordinator, as head coach #URL# #URL#","['ny', 'giants', 'hire', 'brian', 'daboll', ',', 'bills', 'offensive', 'coordinator', ',', 'as', 'head', 'coach', '#', 'url', '#', '#', 'url', '#']","['ny', 'giants', 'hire', 'brian', 'daboll', 'bills', 'offensive', 'coordinator', 'as', 'head', 'coach', 'url', 'url']","['ny', 'giants', 'hire', 'brian', 'daboll', 'bills', 'offensive', 'coordinator', 'as', 'head', 'coach']","[('ny', 'JJ'), ('giants', 'NNS'), ('hire', 'VBP'), ('brian', 'JJ'), ('daboll', 'NN'), ('bills', 'NNS'), ('offensive', 'JJ'), ('coordinator', 'NN'), ('as', 'IN'), ('head', 'NN'), ('coach', 'NN')]","[('ny', 'a'), ('giants', 'n'), ('hire', 'v'), ('brian', 'a'), ('daboll', 'n'), ('bills', 'n'), ('offensive', 'a'), ('coordinator', 'n'), ('as', 'n'), ('head', 'n'), ('coach', 'n')]","['ny', 'giant', 'hire', 'brian', 'daboll', 'bill', 'offensive', 'coordinator', 'a', 'head', 'coach']"
52,3 Olive Ridley turtles found dead in Villupuram #URL# #URL#,"['3', 'Olive', 'Ridley', 'turtles', 'found', 'dead', 'in', 'Villupuram', '#URL#', '#URL#']",3 Olive Ridley turtles found dead in Villupuram #URL# #URL#,"['3', 'olive', 'ridley', 'turtles', 'found', 'dead', 'in', 'villupuram', '#', 'url', '#', '#', 'url', '#']","['3', 'olive', 'ridley', 'turtles', 'found', 'dead', 'in', 'villupuram', 'url', 'url']","['3', 'olive', 'ridley', 'turtles', 'found', 'dead', 'in', 'villupuram']","[('3', 'CD'), ('olive', 'JJ'), ('ridley', 'NN'), ('turtles', 'NNS'), ('found', 'VBN'), ('dead', 'JJ'), ('in', 'IN'), ('villupuram', 'NN')]","[('3', 'n'), ('olive', 'a'), ('ridley', 'n'), ('turtles', 'n'), ('found', 'v'), ('dead', 'a'), ('in', 'n'), ('villupuram', 'n')]","['3', 'olive', 'ridley', 'turtle', 'find', 'dead', 'in', 'villupuram']"
53,Rajkummar Rao's Reaction To Wife Patralekhaa's Post About Him #URL# #URL#,"['Rajkummar', ""Rao's"", 'Reaction', 'To', 'Wife', ""Patralekhaa's"", 'Post', 'About', 'Him', '#URL#', '#URL#']",Rajkummar Rao's Reaction To Wife Patralekhaa's Post About Him #URL# #URL#,"['rajkummar', 'rao', ""'s"", 'reaction', 'to', 'wife', 'patralekhaa', ""'s"", 'post', 'about', 'him', '#', 'url', '#', '#', 'url', '#']","['rajkummar', 'rao', ""'s"", 'reaction', 'to', 'wife', 'patralekhaa', ""'s"", 'post', 'about', 'him', 'url', 'url']","['rajkummar', 'rao', ""'s"", 'reaction', 'to', 'wife', 'patralekhaa', ""'s"", 'post', 'about', 'him']","[('rajkummar', 'NN'), ('rao', 'NN'), (""'s"", 'POS'), ('reaction', 'NN'), ('to', 'TO'), ('wife', 'NN'), ('patralekhaa', 'NN'), (""'s"", 'POS'), ('post', 'NN'), ('about', 'IN'), ('him', 'PRP')]","[('rajkummar', 'n'), ('rao', 'n'), (""'s"", 'n'), ('reaction', 'n'), ('to', 'n'), ('wife', 'n'), ('patralekhaa', 'n'), (""'s"", 'n'), ('post', 'n'), ('about', 'n'), ('him', 'n')]","['rajkummar', 'rao', ""'s"", 'reaction', 'to', 'wife', 'patralekhaa', ""'s"", 'post', 'about', 'him']"
54,Flurry of missile tests displays North Korea’s more diverse arsenal #URL# #URL#,"['Flurry', 'of', 'missile', 'tests', 'displays', 'North', 'Korea’s', 'more', 'diverse', 'arsenal', '#URL#', '#URL#']",Flurry of missile tests displays North Korea’s more diverse arsenal #URL# #URL#,"['flurry', 'of', 'missile', 'tests', 'displays', 'north', 'korea', '’', 's', 'more', 'diverse', 'arsenal', '#', 'url', '#', '#', 'url', '#']","['flurry', 'of', 'missile', 'tests', 'displays', 'north', 'korea', '’', 's', 'more', 'diverse', 'arsenal', 'url', 'url']","['flurry', 'missile', 'tests', 'displays', 'north', 'korea', '’', 's', 'more', 'diverse', 'arsenal']","[('flurry', 'NN'), ('missile', 'NN'), ('tests', 'NNS'), ('displays', 'VBP'), ('north', 'JJ'), ('korea', 'JJ'), ('’', 'NN'), ('s', 'NN'), ('more', 'JJR'), ('diverse', 'JJ'), ('arsenal', 'NN')]","[('flurry', 'n'), ('missile', 'n'), ('tests', 'n'), ('displays', 'v'), ('north', 'a'), ('korea', 'a'), ('’', 'n'), ('s', 'n'), ('more', 'a'), ('diverse', 'a'), ('arsenal', 'n')]","['flurry', 'missile', 'test', 'display', 'north', 'korea', '’', 's', 'more', 'diverse', 'arsenal']"
55,‘Guilty’ Taylor banned for three and a half years #URL# #URL#,"['‘Guilty’', 'Taylor', 'banned', 'for', 'three', 'and', 'a', 'half', 'years', '#URL#', '#URL#']",‘Guilty’ Taylor banned for three and a half years #URL# #URL#,"['‘', 'guilty', '’', 'taylor', 'banned', 'for', 'three', 'and', 'a', 'half', 'years', '#', 'url', '#', '#', 'url', '#']","['‘', 'guilty', '’', 'taylor', 'banned', 'for', 'three', 'and', 'a', 'half', 'years', 'url', 'url']","['‘', 'guilty', '’', 'taylor', 'banned', 'three', 'and', 'half', 'years']","[('‘', 'VB'), ('guilty', 'JJ'), ('’', 'NNP'), ('taylor', 'NN'), ('banned', 'VBD'), ('three', 'CD'), ('and', 'CC'), ('half', 'CD'), ('years', 'NNS')]","[('‘', 'v'), ('guilty', 'a'), ('’', 'n'), ('taylor', 'n'), ('banned', 'v'), ('three', 'n'), ('and', 'n'), ('half', 'n'), ('years', 'n')]","['‘', 'guilty', '’', 'taylor', 'ban', 'three', 'and', 'half', 'year']"
56,Afghan activists ask about whereabouts of two women as Taliban talks with West continue #URL# #URL#,"['Afghan', 'activists', 'ask', 'about', 'whereabouts', 'of', 'two', 'women', 'as', 'Taliban', 'talks', 'with', 'West', 'continue', '#URL#', '#URL#']",Afghan activists ask about whereabouts of two women as Taliban talks with West continue #URL# #URL#,"['afghan', 'activists', 'ask', 'about', 'whereabouts', 'of', 'two', 'women', 'as', 'taliban', 'talks', 'with', 'west', 'continue', '#', 'url', '#', '#', 'url', '#']","['afghan', 'activists', 'ask', 'about', 'whereabouts', 'of', 'two', 'women', 'as', 'taliban', 'talks', 'with', 'west', 'continue', 'url', 'url']","['afghan', 'activists', 'ask', 'about', 'whereabouts', 'two', 'women', 'as', 'taliban', 'talks', 'with', 'west', 'continue']","[('afghan', 'JJ'), ('activists', 'NNS'), ('ask', 'VBP'), ('about', 'IN'), ('whereabouts', 'NNS'), ('two', 'CD'), ('women', 'NNS'), ('as', 'IN'), ('taliban', 'JJ'), ('talks', 'NNS'), ('with', 'IN'), ('west', 'JJ'), ('continue', 'NN')]","[('afghan', 'a'), ('activists', 'n'), ('ask', 'v'), ('about', 'n'), ('whereabouts', 'n'), ('two', 'n'), ('women', 'n'), ('as', 'n'), ('taliban', 'a'), ('talks', 'n'), ('with', 'n'), ('west', 'a'), ('continue', 'n')]","['afghan', 'activist', 'ask', 'about', 'whereabouts', 'two', 'woman', 'a', 'taliban', 'talk', 'with', 'west', 'continue']"
57,Mighty Mighty Bosstones split after nearly 40 years #URL# #URL#,"['Mighty', 'Mighty', 'Bosstones', 'split', 'after', 'nearly', '40', 'years', '#URL#', '#URL#']",Mighty Mighty Bosstones split after nearly 40 years #URL# #URL#,"['mighty', 'mighty', 'bosstones', 'split', 'after', 'nearly', '40', 'years', '#', 'url', '#', '#', 'url', '#']","['mighty', 'mighty', 'bosstones', 'split', 'after', 'nearly', '40', 'years', 'url', 'url']","['mighty', 'mighty', 'bosstones', 'split', 'after', 'nearly', '40', 'years']","[('mighty', 'NN'), ('mighty', 'NN'), ('bosstones', 'NNS'), ('split', 'VBP'), ('after', 'IN'), ('nearly', 'RB'), ('40', 'CD'), ('years', 'NNS')]","[('mighty', 'n'), ('mighty', 'n'), ('bosstones', 'n'), ('split', 'v'), ('after', 'n'), ('nearly', 'r'), ('40', 'n'), ('years', 'n')]","['mighty', 'mighty', 'bosstones', 'split', 'after', 'nearly', '40', 'year']"
58,"Portugal heads to the polls in decisive parliamentary elections, analysts predict a tie #URL# #URL#","['Portugal', 'heads', 'to', 'the', 'polls', 'in', 'decisive', 'parliamentary', 'elections,', 'analysts', 'predict', 'a', 'tie', '#URL#', '#URL#']","Portugal heads to the polls in decisive parliamentary elections, analysts predict a tie #URL# #URL#","['portugal', 'heads', 'to', 'the', 'polls', 'in', 'decisive', 'parliamentary', 'elections', ',', 'analysts', 'predict', 'a', 'tie', '#', 'url', '#', '#', 'url', '#']","['portugal', 'heads', 'to', 'the', 'polls', 'in', 'decisive', 'parliamentary', 'elections', 'analysts', 'predict', 'a', 'tie', 'url', 'url']","['portugal', 'heads', 'to', 'polls', 'in', 'decisive', 'parliamentary', 'elections', 'analysts', 'predict', 'tie']","[('portugal', 'JJ'), ('heads', 'NNS'), ('to', 'TO'), ('polls', 'NNS'), ('in', 'IN'), ('decisive', 'JJ'), ('parliamentary', 'JJ'), ('elections', 'NNS'), ('analysts', 'NNS'), ('predict', 'VBP'), ('tie', 'NN')]","[('portugal', 'a'), ('heads', 'n'), ('to', 'n'), ('polls', 'n'), ('in', 'n'), ('decisive', 'a'), ('parliamentary', 'a'), ('elections', 'n'), ('analysts', 'n'), ('predict', 'v'), ('tie', 'n')]","['portugal', 'head', 'to', 'poll', 'in', 'decisive', 'parliamentary', 'election', 'analyst', 'predict', 'tie']"
59,Indonesia markets to close on Feb. 1 for Lunar New Year holiday #URL# #URL#,"['Indonesia', 'markets', 'to', 'close', 'on', 'February', '1', 'for', 'Lunar', 'New', 'Year', 'holiday', '#URL#', '#URL#']",Indonesia markets to close on February 1 for Lunar New Year holiday #URL# #URL#,"['indonesia', 'markets', 'to', 'close', 'on', 'february', '1', 'for', 'lunar', 'new', 'year', 'holiday', '#', 'url', '#', '#', 'url', '#']","['indonesia', 'markets', 'to', 'close', 'on', 'february', '1', 'for', 'lunar', 'new', 'year', 'holiday', 'url', 'url']","['indonesia', 'markets', 'to', 'close', 'on', 'february', '1', 'lunar', 'new', 'year', 'holiday']","[('indonesia', 'NN'), ('markets', 'NNS'), ('to', 'TO'), ('close', 'VB'), ('on', 'IN'), ('february', 'JJ'), ('1', 'CD'), ('lunar', 'NN'), ('new', 'JJ'), ('year', 'NN'), ('holiday', 'NN')]","[('indonesia', 'n'), ('markets', 'n'), ('to', 'n'), ('close', 'v'), ('on', 'n'), ('february', 'a'), ('1', 'n'), ('lunar', 'n'), ('new', 'a'), ('year', 'n'), ('holiday', 'n')]","['indonesia', 'market', 'to', 'close', 'on', 'february', '1', 'lunar', 'new', 'year', 'holiday']"
60,My Hero Academia Reaches Staggering New Manga Milestone #URL# #URL#,"['My', 'Hero', 'Academia', 'Reaches', 'Staggering', 'New', 'Manga', 'Milestone', '#URL#', '#URL#']",My Hero Academia Reaches Staggering New Manga Milestone #URL# #URL#,"['my', 'hero', 'academia', 'reaches', 'staggering', 'new', 'manga', 'milestone', '#', 'url', '#', '#', 'url', '#']","['my', 'hero', 'academia', 'reaches', 'staggering', 'new', 'manga', 'milestone', 'url', 'url']","['my', 'hero', 'academia', 'reaches', 'staggering', 'new', 'manga', 'milestone']","[('my', 'PRP$'), ('hero', 'NN'), ('academia', 'NN'), ('reaches', 'VBZ'), ('staggering', 'VBG'), ('new', 'JJ'), ('manga', 'NN'), ('milestone', 'NN')]","[('my', 'n'), ('hero', 'n'), ('academia', 'n'), ('reaches', 'v'), ('staggering', 'v'), ('new', 'a'), ('manga', 'n'), ('milestone', 'n')]","['my', 'hero', 'academia', 'reach', 'stagger', 'new', 'manga', 'milestone']"
61,"Ukraine calls on West to be 'vigilant and firm' with Russia, UK to offer more NATO troops #URL# #URL#","['Ukraine', 'calls', 'on', 'West', 'to', 'be', ""'vigilant"", 'and', ""firm'"", 'with', 'Russia,', 'UK', 'to', 'offer', 'more', 'NATO', 'troops', '#URL#', '#URL#']","Ukraine calls on West to be 'vigilant and firm' with Russia, UK to offer more NATO troops #URL# #URL#","['ukraine', 'calls', 'on', 'west', 'to', 'be', ""'vigilant"", 'and', 'firm', ""'"", 'with', 'russia', ',', 'uk', 'to', 'offer', 'more', 'nato', 'troops', '#', 'url', '#', '#', 'url', '#']","['ukraine', 'calls', 'on', 'west', 'to', 'be', ""'vigilant"", 'and', 'firm', 'with', 'russia', 'uk', 'to', 'offer', 'more', 'nato', 'troops', 'url', 'url']","['ukraine', 'calls', 'on', 'west', 'to', 'be', ""'vigilant"", 'and', 'firm', 'with', 'russia', 'uk', 'to', 'offer', 'more', 'nato', 'troops']","[('ukraine', 'JJ'), ('calls', 'NNS'), ('on', 'IN'), ('west', 'NN'), ('to', 'TO'), ('be', 'VB'), (""'vigilant"", 'JJ'), ('and', 'CC'), ('firm', 'NN'), ('with', 'IN'), ('russia', 'NN'), ('uk', 'NN'), ('to', 'TO'), ('offer', 'VB'), ('more', 'JJR'), ('nato', 'JJ'), ('troops', 'NNS')]","[('ukraine', 'a'), ('calls', 'n'), ('on', 'n'), ('west', 'n'), ('to', 'n'), ('be', 'v'), (""'vigilant"", 'a'), ('and', 'n'), ('firm', 'n'), ('with', 'n'), ('russia', 'n'), ('uk', 'n'), ('to', 'n'), ('offer', 'v'), ('more', 'a'), ('nato', 'a'), ('troops', 'n')]","['ukraine', 'call', 'on', 'west', 'to', 'be', ""'vigilant"", 'and', 'firm', 'with', 'russia', 'uk', 'to', 'offer', 'more', 'nato', 'troop']"
62,"Seat-sharing talks with DMK smooth, says Alagiri #URL# #URL#","['Seat-sharing', 'talks', 'with', 'DMK', 'smooth,', 'says', 'Alagiri', '#URL#', '#URL#']","Seat-sharing talks with DMK smooth, says Alagiri #URL# #URL#","['seat-sharing', 'talks', 'with', 'dmk', 'smooth', ',', 'says', 'alagiri', '#', 'url', '#', '#', 'url', '#']","['seat-sharing', 'talks', 'with', 'dmk', 'smooth', 'says', 'alagiri', 'url', 'url']","['seat-sharing', 'talks', 'with', 'dmk', 'smooth', 'says', 'alagiri']","[('seat-sharing', 'JJ'), ('talks', 'NNS'), ('with', 'IN'), ('dmk', 'NNS'), ('smooth', 'VBP'), ('says', 'VBZ'), ('alagiri', 'NN')]","[('seat-sharing', 'a'), ('talks', 'n'), ('with', 'n'), ('dmk', 'n'), ('smooth', 'v'), ('says', 'v'), ('alagiri', 'n')]","['seat-sharing', 'talk', 'with', 'dmk', 'smooth', 'say', 'alagiri']"
63,Nomination Of Some Sena Candidates In UP Rejected Illegally: Sanjay Raut #URL# #URL#,"['Nomination', 'Of', 'Some', 'Sena', 'Candidates', 'In', 'UP', 'Rejected', 'Illegally:', 'Sanjay', 'Raut', '#URL#', '#URL#']",Nomination Of Some Sena Candidates In UP Rejected Illegally: Sanjay Raut #URL# #URL#,"['nomination', 'of', 'some', 'sena', 'candidates', 'in', 'up', 'rejected', 'illegally', ':', 'sanjay', 'raut', '#', 'url', '#', '#', 'url', '#']","['nomination', 'of', 'some', 'sena', 'candidates', 'in', 'up', 'rejected', 'illegally', 'sanjay', 'raut', 'url', 'url']","['nomination', 'some', 'sena', 'candidates', 'in', 'up', 'rejected', 'illegally', 'sanjay', 'raut']","[('nomination', 'NN'), ('some', 'DT'), ('sena', 'VBP'), ('candidates', 'NNS'), ('in', 'IN'), ('up', 'RP'), ('rejected', 'VBN'), ('illegally', 'RB'), ('sanjay', 'JJ'), ('raut', 'NN')]","[('nomination', 'n'), ('some', 'n'), ('sena', 'v'), ('candidates', 'n'), ('in', 'n'), ('up', 'r'), ('rejected', 'v'), ('illegally', 'r'), ('sanjay', 'a'), ('raut', 'n')]","['nomination', 'some', 'sena', 'candidate', 'in', 'up', 'reject', 'illegally', 'sanjay', 'raut']"
64,Russia and NATO locked in high-risk standoff in Mediterranean and Black Seas #URL# #URL#,"['Russia', 'and', 'NATO', 'locked', 'in', 'high-risk', 'standoff', 'in', 'Mediterranean', 'and', 'Black', 'Seas', '#URL#', '#URL#']",Russia and NATO locked in high-risk standoff in Mediterranean and Black Seas #URL# #URL#,"['russia', 'and', 'nato', 'locked', 'in', 'high-risk', 'standoff', 'in', 'mediterranean', 'and', 'black', 'seas', '#', 'url', '#', '#', 'url', '#']","['russia', 'and', 'nato', 'locked', 'in', 'high-risk', 'standoff', 'in', 'mediterranean', 'and', 'black', 'seas', 'url', 'url']","['russia', 'and', 'nato', 'locked', 'in', 'high-risk', 'standoff', 'in', 'mediterranean', 'and', 'black', 'seas']","[('russia', 'NN'), ('and', 'CC'), ('nato', 'NN'), ('locked', 'VBN'), ('in', 'IN'), ('high-risk', 'JJ'), ('standoff', 'NN'), ('in', 'IN'), ('mediterranean', 'NN'), ('and', 'CC'), ('black', 'JJ'), ('seas', 'NNS')]","[('russia', 'n'), ('and', 'n'), ('nato', 'n'), ('locked', 'v'), ('in', 'n'), ('high-risk', 'a'), ('standoff', 'n'), ('in', 'n'), ('mediterranean', 'n'), ('and', 'n'), ('black', 'a'), ('seas', 'n')]","['russia', 'and', 'nato', 'lock', 'in', 'high-risk', 'standoff', 'in', 'mediterranean', 'and', 'black', 'sea']"
65,SDF fighters besiege the remaining ISIS members in Hesekê #URL# #URL#,"['SDF', 'fighters', 'besiege', 'the', 'remaining', 'ISIS', 'members', 'in', 'Hesekê', '#URL#', '#URL#']",SDF fighters besiege the remaining ISIS members in Hesekê #URL# #URL#,"['sdf', 'fighters', 'besiege', 'the', 'remaining', 'isis', 'members', 'in', 'hesekê', '#', 'url', '#', '#', 'url', '#']","['sdf', 'fighters', 'besiege', 'the', 'remaining', 'isis', 'members', 'in', 'hesekê', 'url', 'url']","['sdf', 'fighters', 'besiege', 'remaining', 'isis', 'members', 'in', 'hesekê']","[('sdf', 'NN'), ('fighters', 'NNS'), ('besiege', 'VBP'), ('remaining', 'VBG'), ('isis', 'NN'), ('members', 'NNS'), ('in', 'IN'), ('hesekê', 'NN')]","[('sdf', 'n'), ('fighters', 'n'), ('besiege', 'v'), ('remaining', 'v'), ('isis', 'n'), ('members', 'n'), ('in', 'n'), ('hesekê', 'n')]","['sdf', 'fighter', 'besiege', 'remain', 'isi', 'member', 'in', 'hesekê']"
66,Ingraham: Liberals claim every political move is 'for the children' but the truth is 'dark and sinister' #URL# #URL#,"['Ingraham:', 'Liberals', 'claim', 'every', 'political', 'move', 'is', ""'for"", 'the', ""children'"", 'but', 'the', 'truth', 'is', ""'dark"", 'and', ""sinister'"", '#URL#', '#URL#']",Ingraham: Liberals claim every political move is 'for the children' but the truth is 'dark and sinister' #URL# #URL#,"['ingraham', ':', 'liberals', 'claim', 'every', 'political', 'move', 'is', ""'for"", 'the', 'children', ""'"", 'but', 'the', 'truth', 'is', ""'dark"", 'and', 'sinister', ""'"", '#', 'url', '#', '#', 'url', '#']","['ingraham', 'liberals', 'claim', 'every', 'political', 'move', 'is', ""'for"", 'the', 'children', 'but', 'the', 'truth', 'is', ""'dark"", 'and', 'sinister', 'url', 'url']","['ingraham', 'liberals', 'claim', 'every', 'political', 'move', ""'for"", 'children', 'but', 'truth', ""'dark"", 'and', 'sinister']","[('ingraham', 'JJ'), ('liberals', 'NNS'), ('claim', 'VBP'), ('every', 'DT'), ('political', 'JJ'), ('move', 'NN'), (""'for"", 'POS'), ('children', 'NNS'), ('but', 'CC'), ('truth', 'NN'), (""'dark"", 'CD'), ('and', 'CC'), ('sinister', 'NN')]","[('ingraham', 'a'), ('liberals', 'n'), ('claim', 'v'), ('every', 'n'), ('political', 'a'), ('move', 'n'), (""'for"", 'n'), ('children', 'n'), ('but', 'n'), ('truth', 'n'), (""'dark"", 'n'), ('and', 'n'), ('sinister', 'n')]","['ingraham', 'liberal', 'claim', 'every', 'political', 'move', ""'for"", 'child', 'but', 'truth', ""'dark"", 'and', 'sinister']"
67,The Return Of Inflation In US And Western Europe – OpEd #URL# #URL#,"['The', 'Return', 'Of', 'Inflation', 'In', 'US', 'And', 'Western', 'Europe', '–', 'OpEd', '#URL#', '#URL#']",The Return Of Inflation In US And Western Europe – OpEd #URL# #URL#,"['the', 'return', 'of', 'inflation', 'in', 'us', 'and', 'western', 'europe', '–', 'oped', '#', 'url', '#', '#', 'url', '#']","['the', 'return', 'of', 'inflation', 'in', 'us', 'and', 'western', 'europe', '–', 'oped', 'url', 'url']","['return', 'inflation', 'in', 'us', 'and', 'western', 'europe', '–', 'oped']","[('return', 'NN'), ('inflation', 'NN'), ('in', 'IN'), ('us', 'PRP'), ('and', 'CC'), ('western', 'JJ'), ('europe', 'NN'), ('–', 'NN'), ('oped', 'VBD')]","[('return', 'n'), ('inflation', 'n'), ('in', 'n'), ('us', 'n'), ('and', 'n'), ('western', 'a'), ('europe', 'n'), ('–', 'n'), ('oped', 'v')]","['return', 'inflation', 'in', 'u', 'and', 'western', 'europe', '–', 'oped']"
68,Mann Ki Baat | About 60% youth in 15-18 age group vaccinated against COVID-19: PM Modi #URL# #URL#,"['Mann', 'Ki', 'Baat', '|', 'About', '60%', 'youth', 'in', '15-18', 'age', 'group', 'vaccinated', 'against', 'COVID-19:', 'PM', 'Modi', '#URL#', '#URL#']",Mann Ki Baat | About 60% youth in 15-18 age group vaccinated against COVID-19: PM Modi #URL# #URL#,"['mann', 'ki', 'baat', '|', 'about', '60', '%', 'youth', 'in', '15-18', 'age', 'group', 'vaccinated', 'against', 'covid-19', ':', 'pm', 'modi', '#', 'url', '#', '#', 'url', '#']","['mann', 'ki', 'baat', 'about', '60', 'youth', 'in', '15-18', 'age', 'group', 'vaccinated', 'against', 'covid-19', 'pm', 'modi', 'url', 'url']","['mann', 'ki', 'baat', 'about', '60', 'youth', 'in', '15-18', 'age', 'group', 'vaccinated', 'against', 'covid-19', 'pm', 'modi']","[('mann', 'NN'), ('ki', 'NN'), ('baat', 'NN'), ('about', 'IN'), ('60', 'CD'), ('youth', 'NN'), ('in', 'IN'), ('15-18', 'JJ'), ('age', 'NN'), ('group', 'NN'), ('vaccinated', 'VBD'), ('against', 'IN'), ('covid-19', 'JJ'), ('pm', 'NN'), ('modi', 'NN')]","[('mann', 'n'), ('ki', 'n'), ('baat', 'n'), ('about', 'n'), ('60', 'n'), ('youth', 'n'), ('in', 'n'), ('15-18', 'a'), ('age', 'n'), ('group', 'n'), ('vaccinated', 'v'), ('against', 'n'), ('covid-19', 'a'), ('pm', 'n'), ('modi', 'n')]","['mann', 'ki', 'baat', 'about', '60', 'youth', 'in', '15-18', 'age', 'group', 'vaccinate', 'against', 'covid-19', 'pm', 'modi']"
69,All power units at nuclear power plants simultaneously launched for the first time in Ukraine #URL# #URL#,"['All', 'power', 'units', 'at', 'nuclear', 'power', 'plants', 'simultaneously', 'launched', 'for', 'the', 'first', 'time', 'in', 'Ukraine', '#URL#', '#URL#']",All power units at nuclear power plants simultaneously launched for the first time in Ukraine #URL# #URL#,"['all', 'power', 'units', 'at', 'nuclear', 'power', 'plants', 'simultaneously', 'launched', 'for', 'the', 'first', 'time', 'in', 'ukraine', '#', 'url', '#', '#', 'url', '#']","['all', 'power', 'units', 'at', 'nuclear', 'power', 'plants', 'simultaneously', 'launched', 'for', 'the', 'first', 'time', 'in', 'ukraine', 'url', 'url']","['all', 'power', 'units', 'at', 'nuclear', 'power', 'plants', 'simultaneously', 'launched', 'first', 'time', 'in', 'ukraine']","[('all', 'DT'), ('power', 'NN'), ('units', 'NNS'), ('at', 'IN'), ('nuclear', 'JJ'), ('power', 'NN'), ('plants', 'NNS'), ('simultaneously', 'RB'), ('launched', 'VBN'), ('first', 'JJ'), ('time', 'NN'), ('in', 'IN'), ('ukraine', 'JJ')]","[('all', 'n'), ('power', 'n'), ('units', 'n'), ('at', 'n'), ('nuclear', 'a'), ('power', 'n'), ('plants', 'n'), ('simultaneously', 'r'), ('launched', 'v'), ('first', 'a'), ('time', 'n'), ('in', 'n'), ('ukraine', 'a')]","['all', 'power', 'unit', 'at', 'nuclear', 'power', 'plant', 'simultaneously', 'launch', 'first', 'time', 'in', 'ukraine']"
70,Portugal’s ruling Socialists and far-right party Chega eye gains in snap legislative elections #URL# #URL#,"['Portugal’s', 'ruling', 'Socialists', 'and', 'far-right', 'party', 'Chega', 'eye', 'gains', 'in', 'snap', 'legislative', 'elections', '#URL#', '#URL#']",Portugal’s ruling Socialists and far-right party Chega eye gains in snap legislative elections #URL# #URL#,"['portugal', '’', 's', 'ruling', 'socialists', 'and', 'far-right', 'party', 'chega', 'eye', 'gains', 'in', 'snap', 'legislative', 'elections', '#', 'url', '#', '#', 'url', '#']","['portugal', '’', 's', 'ruling', 'socialists', 'and', 'far-right', 'party', 'chega', 'eye', 'gains', 'in', 'snap', 'legislative', 'elections', 'url', 'url']","['portugal', '’', 's', 'ruling', 'socialists', 'and', 'far-right', 'party', 'chega', 'eye', 'gains', 'in', 'snap', 'legislative', 'elections']","[('portugal', 'JJ'), ('’', 'NNP'), ('s', 'NN'), ('ruling', 'VBG'), ('socialists', 'NNS'), ('and', 'CC'), ('far-right', 'JJ'), ('party', 'NN'), ('chega', 'NN'), ('eye', 'NN'), ('gains', 'NNS'), ('in', 'IN'), ('snap', 'JJ'), ('legislative', 'JJ'), ('elections', 'NNS')]","[('portugal', 'a'), ('’', 'n'), ('s', 'n'), ('ruling', 'v'), ('socialists', 'n'), ('and', 'n'), ('far-right', 'a'), ('party', 'n'), ('chega', 'n'), ('eye', 'n'), ('gains', 'n'), ('in', 'n'), ('snap', 'a'), ('legislative', 'a'), ('elections', 'n')]","['portugal', '’', 's', 'rule', 'socialist', 'and', 'far-right', 'party', 'chega', 'eye', 'gain', 'in', 'snap', 'legislative', 'election']"
71,SDF: 300 ISIS members surrendered in Sina Prison in Heseke #URL# #URL#,"['SDF:', '300', 'ISIS', 'members', 'surrendered', 'in', 'Sina', 'Prison', 'in', 'Heseke', '#URL#', '#URL#']",SDF: 300 ISIS members surrendered in Sina Prison in Heseke #URL# #URL#,"['sdf', ':', '300', 'isis', 'members', 'surrendered', 'in', 'sina', 'prison', 'in', 'heseke', '#', 'url', '#', '#', 'url', '#']","['sdf', '300', 'isis', 'members', 'surrendered', 'in', 'sina', 'prison', 'in', 'heseke', 'url', 'url']","['sdf', '300', 'isis', 'members', 'surrendered', 'in', 'sina', 'prison', 'in', 'heseke']","[('sdf', 'NN'), ('300', 'CD'), ('isis', 'NN'), ('members', 'NNS'), ('surrendered', 'VBD'), ('in', 'IN'), ('sina', 'NN'), ('prison', 'NN'), ('in', 'IN'), ('heseke', 'NN')]","[('sdf', 'n'), ('300', 'n'), ('isis', 'n'), ('members', 'n'), ('surrendered', 'v'), ('in', 'n'), ('sina', 'n'), ('prison', 'n'), ('in', 'n'), ('heseke', 'n')]","['sdf', '300', 'isi', 'member', 'surrender', 'in', 'sina', 'prison', 'in', 'heseke']"
